specObjID,z,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,w1mpro,w1snr,w2mpro,w2snr,w3mpro,w3snr,w4mpro,w4snr
348007827647784960,0.04622256,ext,20.74926,18.94569,18.167279999999998,17.77662,17.46678,19.97351,18.18283,17.3693,16.99227,16.677039999999998,0.2000789,0.15590009999999999,0.107851,0.08014483,0.05961303,14.405999999999999,37.9,14.354000000000001,22.4,12.704,0.8,9.475,-1.1
348007833150711808,0.04619639,ext,20.74926,18.94569,18.167279999999998,17.77662,17.46678,19.97351,18.18283,17.3693,16.99227,16.677039999999998,0.2000789,0.15590009999999999,0.107851,0.08014483,0.05961303,14.405999999999999,37.9,14.354000000000001,22.4,12.704,0.8,9.475,-1.1
348007283394897920,0.33715490000000004,ext,23.443620000000003,21.62246,19.85585,19.227320000000002,18.810010000000002,22.47071,20.4491,18.72291,18.121370000000002,17.77431,0.1857166,0.1447091,0.1001091,0.07439178,0.05533382,14.683,34.6,14.460999999999999,21.0,12.603,0.9,9.484,-0.1
348003154723366912,0.33710300000000004,ext,23.443620000000003,21.62246,19.85585,19.227320000000002,18.810010000000002,22.47071,20.4491,18.72291,18.121370000000002,17.77431,0.1857166,0.1447091,0.1001091,0.07439178,0.05533382,14.683,34.6,14.460999999999999,21.0,12.603,0.9,9.484,-0.1
348002610470479872,0.13176279999999999,ext,21.32938,19.86598,19.02189,18.5621,18.239620000000002,19.67941,18.35621,17.55667,17.14281,16.83488,0.2000981,0.1559151,0.10786130000000001,0.08015251,0.05961874,14.48,37.1,14.222000000000001,24.5,11.043,12.4,8.918,0.9
348006728136157184,0.1317694,ext,21.32938,19.86598,19.02189,18.5621,18.239620000000002,19.67941,18.35621,17.55667,17.14281,16.83488,0.2000981,0.1559151,0.10786130000000001,0.08015251,0.05961874,14.48,37.1,14.222000000000001,24.5,11.043,12.4,8.918,0.9
348005078868715520,0.2119532,ext,22.55284,20.984720000000003,19.79169,19.218529999999998,18.93915,19.98489,18.39009,17.38605,16.92823,16.62989,0.211071,0.1644651,0.1137762,0.08454792,0.06288812,14.534,35.6,14.124,26.0,10.895999999999999,14.0,8.946,1.1
348005359249549312,0.2119585,ext,22.55284,20.984720000000003,19.79169,19.218529999999998,18.93915,19.98489,18.39009,17.38605,16.92823,16.62989,0.211071,0.1644651,0.1137762,0.08454792,0.06288812,14.534,35.6,14.124,26.0,10.895999999999999,14.0,8.946,1.1
348004534615828480,0.1314621,ext,21.996920000000003,20.72299,19.876910000000002,19.51618,19.13393,19.67719,18.49334,17.83951,17.50515,17.23609,0.19364589999999998,0.1508876,0.10438330000000001,0.077568,0.05769634,15.337,28.3,14.992,15.3,11.515999999999998,8.4,9.088,0.9
348005903502436352,0.1314941,ext,21.996920000000003,20.72299,19.876910000000002,19.51618,19.13393,19.67719,18.49334,17.83951,17.50515,17.23609,0.19364589999999998,0.1508876,0.10438330000000001,0.077568,0.05769634,15.337,28.3,14.992,15.3,11.515999999999998,8.4,9.088,0.9
